mussel_ID,color,shell_length,shell_width,shell_depth,wet_weight,tank,cage,rep,date,
26,tag,55.05,27.94,22.55,18.4397,5,ctrl,2,7/7/2024,
27,tag,47.55,24.02,22.18,14.3078,5,ctrl,3,7/7/2024,
28,tag,48.52,24.06,20.56,11.5238,5,ctrl,4,7/7/2024,
29,tag,56.95,23.67,23.41,19.3452,5,ctrl,5,7/7/2024,
30,tag,54.34,25.53,26.41,23.7905,5,ctrl,6,7/7/2024,
31,tag,44.25,22.81,20.85,13.3598,6,ctrl,1,7/7/2024,
32,tag,48.35,22.41,22.66,17.3423,6,ctrl,2,7/7/2024,
33,tag,52.35,24.56,23.63,20.7208,6,ctrl,3,7/7/2024,
34,tag,50.04,22.43,21.76,14.3103,6,ctrl,4,7/7/2024,
35,tag,48.27,22.04,20.12,10.0852,6,ctrl,5,7/7/2024,
36,tag,57.08,26.47,24.06,22.4301,6,ctrl,6,7/7/2024,
37,tag,52.55,23.75,21.54,15.2291,7,ctrl,1,7/7/2024,
38,tag,44.02,21.39,20.34,11.8154,7,ctrl,2,7/7/2024,
39,tag,44.29,22.27,21.05,12.7272,7,ctrl,3,7/7/2024,
40,tag,57.76,27.75,27,23.9431,7,ctrl,4,7/7/2024,
41,tag,49.45,21.5,21.26,16.7093,7,ctrl,5,7/7/2024,
42,tag,48.53,22.02,20.46,11.4392,7,ctrl,6,7/7/2024,
43,tag,49.13,24.25,23.85,16.6177,8,ctrl,1,7/7/2024,
44,tag,54.56,24.47,22,18.8051,8,ctrl,2,7/7/2024,
45,tag,42.67,19.64,21.67,11.2462,8,ctrl,3,7/7/2024,
46,tag,51.29,24.98,22.96,19.815,8,ctrl,4,7/7/2024,
47,tag,48.68,21.77,21.3,13.842,8,ctrl,5,7/7/2024,
48,tag,53.43,26.59,25.2,20.0282,8,ctrl,6,7/7/2024,
49,tag,45.74,24.07,21.29,13.3039,9,ctrl,1,7/7/2024,
50,tag,47.93,23.65,22.1,14.3297,9,ctrl,2,7/7/2024,
51,tag,46.04,24.24,24.86,15.5033,9,ctrl,3,7/7/2024,
52,tag,45.43,22.04,19.54,9.7628,9,ctrl,4,7/7/2024,
53,tag,47.94,22.87,22.3,15.5447,9,ctrl,5,7/7/2024,
54,tag,51.98,23.92,24.94,18.2789,9,ctrl,6,7/7/2024,
55,tag,57.03,24.68,23.81,16.0746,10,ctrl,1,7/7/2024,
56,tag,48.19,23.71,21.89,14.1907,10,ctrl,2,7/7/2024,
57,tag,48.68,22.63,24.89,15.9894,10,ctrl,3,7/7/2024,
58,tag,57.38,26.14,26.29,22.6649,10,ctrl,4,7/7/2024,
59,tag,43.98,21.34,18.3,10.0056,10,ctrl,5,7/7/2024,
60,tag,48.74,26.66,22.7,16.661,10,ctrl,6,7/7/2024,
61,tag,52.89,22.84,24.44,19.5503,11,ctrl,1,7/7/2024,
62,tag,46.3,23.39,20.87,11.4494,11,ctrl,2,7/7/2024,
63,tag,54.02,24.33,21.67,18.1036,11,ctrl,3,7/7/2024,
64,tag,45.05,22.75,20.23,15.5142,11,ctrl,4,7/7/2024,
65,tag,43.07,22.14,18.5,12.1642,11,ctrl,5,7/7/2024,
66,tag,50.3,25.89,21.14,14.6427,11,ctrl,6,7/7/2024,
67,tag,51.62,25.04,23.59,18.6589,12,ctrl,1,7/7/2024,
68,tag,55.16,26.09,24.35,21.2281,12,ctrl,2,7/7/2024,
69,tag,46.01,22.82,24.26,17.4383,12,ctrl,3,7/7/2024,
70,tag,45.12,21.96,19.69,10.4789,12,ctrl,4,7/7/2024,
71,tag,48.44,21.77,23.04,15.0257,12,ctrl,5,7/7/2024,
72,tag,51.07,26.56,22.99,15.2301,12,ctrl,6,7/7/2024,
73,tag,52.22,25.14,23.46,18.4401,13,ctrl,1,7/7/2024,
74,tag,48.74,25.18,21.86,17.1891,13,ctrl,2,7/7/2024,
75,tag,45.95,22.39,21.37,14.1468,13,ctrl,3,7/7/2024,
76,tag,45.54,25.57,24.62,16.9445,13,ctrl,4,7/7/2024,
77,tag,47.12,23.11,20.73,12.6628,13,ctrl,5,7/7/2024,
78,tag,53.89,25.07,23.82,19.9597,13,ctrl,6,7/7/2024,
79,tag,54.24,23.26,21.43,15.9233,14,ctrl,1,7/7/2024,
80,tag,52.73,24.3,21.69,16.4879,14,ctrl,2,7/7/2024,
81,tag,47.31,23.62,20.76,11.9527,14,ctrl,3,7/7/2024,
82,tag,48.64,21.16,20.11,11.1987,14,ctrl,4,7/7/2024,
83,tag,45.31,23.26,24.88,15.6781,14,ctrl,5,7/7/2024,
84,tag,47.49,24.54,25.31,18.4072,14,ctrl,6,7/7/2024,
85,tag,48.52,26.11,22.34,17.4536,15,ctrl,1,7/7/2024,
86,tag,52.61,25.95,22.77,18.3007,15,ctrl,2,7/7/2024,
87,tag,52.97,23.94,23.92,17.7043,15,ctrl,3,7/7/2024,
88,tag,48.8,23.17,23.69,16.6005,15,ctrl,4,7/7/2024,
89,tag,45.9,21.86,20.83,12.0779,15,ctrl,5,7/7/2024,
90,tag,52.85,27.56,23.81,20.3945,15,ctrl,6,7/7/2024,
91,tag,50.92,22.23,20.87,13.4209,17,ctrl,1,7/7/2024,
92,tag,54.38,28.01,23.67,22.277,17,ctrl,2,7/7/2024,
93,tag,52.23,22.72,24.13,19.3437,17,ctrl,3,7/7/2024,
94,tag,51.17,25.92,25.61,18.2111,17,ctrl,4,7/7/2024,
95,tag,45.97,22.61,21.13,11.9938,17,ctrl,5,7/7/2024,
96,tag,52.55,24.45,23.97,19.8239,17,ctrl,6,7/7/2024,
97,tag,47.65,24.68,21.04,16.3753,18,ctrl,1,7/7/2024,
98,tag,55.35,27.64,24.78,20.3459,18,ctrl,2,7/7/2024,
99,tag,46.69,24.27,20.75,12.2165,18,ctrl,3,7/7/2024,
100,tag,45.88,21.5,22.15,15.9701,18,ctrl,4,7/7/2024,
101,tag,48.18,22.01,19.82,12.7196,18,ctrl,5,7/7/2024,
102,tag,55.74,26.88,24.49,17.8232,18,ctrl,6,7/7/2024,
103,tag,46.26,22.37,18.77,9.46,19,ctrl,1,7/7/2024,
104,tag,53.08,25.85,23.22,16.0646,19,ctrl,2,7/7/2024,
105,tag,51.32,26.45,24.03,19.009,19,ctrl,3,7/7/2024,
106,tag,51.77,24.52,21.9,14.8651,19,ctrl,4,7/7/2024,
107,tag,52.63,24.41,21.84,14.4459,19,ctrl,5,7/7/2024,
108,tag,49.42,23.83,21.61,15.8658,19,ctrl,6,7/7/2024,
109,red,57.48,25.28,24.68,18.4973,9,1,1,7/7/2024,
110,red,57.59,28.29,25.85,23.4969,9,1,2,7/7/2024,
111,red,44.32,22.66,19.49,8.7145,9,1,3,7/7/2024,
112,red,51.31,22.82,20.66,11.6531,9,1,4,7/7/2024,
113,red,50.37,24.63,22,14.997,9,1,5,7/7/2024,
114,red,45.94,24.68,25.3,19.6866,9,1,6,7/7/2024,
115,red,51.03,27.62,22.81,17.4253,9,2,1,7/7/2024,
116,red,48.22,24.3,19.34,10.5993,9,2,2,7/7/2024,
117,red,50.43,22.4,21.59,17.8623,9,2,3,7/7/2024,
118,red,59.66,26.35,23.57,18.3202,9,2,4,7/7/2024,
119,red,54.68,26.58,27.17,25.1313,9,2,5,7/7/2024,
120,red,48.86,24.02,20.78,14.2922,9,2,6,7/7/2024,
121,red,42.83,21.76,17.66,8.4577,9,3,1,7/7/2024,
122,red,48.57,24.16,21.98,14.072,9,3,2,7/7/2024,
123,red,50.58,22.96,18.27,12.6327,9,3,3,7/7/2024,
124,red,50.83,23.38,21.52,15.3073,9,3,4,7/7/2024,
125,red,50.95,23.41,22.73,16.5633,9,3,5,7/7/2024,
126,red,46.39,21.75,21.93,14.5742,9,3,6,7/7/2024,
127,red,54.12,24.91,26.6,17.2289,9,4,1,7/7/2024,
128,red,52.72,24.82,23.18,20.1059,9,4,2,7/7/2024,
129,red,48.19,24.81,23.38,15.5553,9,4,3,7/7/2024,
130,red,48.32,23.63,20.14,15.8064,9,4,4,7/7/2024,
131,red,48.23,20.98,21.16,15.0071,9,4,5,7/7/2024,
132,red,47.06,22.21,21.86,13.8691,9,4,6,7/7/2024,
133,red,55.43,26.49,24.09,19.477,9,5,1,7/7/2024,
134,red,50.14,21.43,20.41,11.6526,9,5,2,7/7/2024,
135,red,42,21.63,19.45,9.7764,9,5,3,7/7/2024,
136,red,57.84,25.39,25.25,24.1843,9,5,4,7/7/2024,
137,red,53.26,23.89,25.37,18.9723,9,5,5,7/7/2024,
138,red,52.08,25.48,24.17,21.6907,9,5,6,7/7/2024,
139,pink,52.25,23.46,23.85,19.6872,3,1,1,7/7/2024,
140,pink,43.63,21.54,17.02,9.8378,3,1,2,7/7/2024,
141,pink,47.65,22.45,19.39,13.5859,3,1,3,7/7/2024,
142,pink,45.15,21.94,22.93,16.9321,3,1,4,7/7/2024,
143,pink,53.5,24.77,24.58,20.2655,3,1,5,7/7/2024,
144,pink,42.17,21.46,20.3,11.0268,3,1,6,7/7/2024,
145,pink,50.66,23.4,21.9,15.8183,3,2,1,7/7/2024,
146,pink,58.58,27.36,21.44,21.0169,3,2,2,7/7/2024,
147,pink,47.27,22.26,20.48,13.5376,3,2,3,7/7/2024,
148,pink,49.83,23.58,21.04,13.6601,3,2,4,7/7/2024,
149,pink,42.24,20.08,18.49,8.7482,3,2,5,7/7/2024,
150,pink,60.5,27.2,26.92,25.9722,3,2,6,7/7/2024,
151,pink,46.23,24.59,19.71,13.2968,3,3,1,7/7/2024,
152,pink,43.64,21.17,20.49,10.4963,3,3,2,7/7/2024,
153,pink,58.82,27.57,21.76,18.6249,3,3,3,7/7/2024,
154,pink,39.4,20.92,20.52,10.0341,3,3,4,7/7/2024,
155,pink,44.97,20.97,19.64,11.8195,3,3,5,7/7/2024,
156,pink,45.98,24.13,21.11,15.2489,3,3,6,7/7/2024,
157,pink,50.25,23.53,21.82,17.9215,3,4,1,7/7/2024,
158,pink,39.45,18.75,17.48,7.892,3,4,2,7/7/2024,
159,pink,50.12,23.61,17.75,14.465,3,4,3,7/7/2024,
160,pink,43.51,19.66,18.71,10.7038,3,4,4,7/7/2024,
161,pink,52.69,24.56,24.6,20.0969,3,4,5,7/7/2024,
162,pink,46.6,23.03,17.73,14.2849,3,4,6,7/7/2024,
163,pink,43.16,21.16,17.38,10.2804,3,5,1,7/7/2024,
164,pink,47.32,20.35,19.81,13.3248,3,5,2,7/7/2024,
165,pink,45.17,20.9,20.03,12.1227,3,5,3,7/7/2024,
166,pink,51.79,25.07,23.69,20.5296,3,5,4,7/7/2024,
167,pink,45.1,21.97,20.01,12.9262,3,5,5,7/7/2024,
168,pink,44.43,22.46,19.04,11.7333,3,5,6,7/7/2024,
169,light green,46.1,23.77,24.02,16.7408,4,1,1,7/7/2024,
170,light green,43.88,22.13,21.59,14.9752,4,1,2,7/7/2024,
171,light green,42.62,20.9,19.37,11.6872,4,1,3,7/7/2024,
172,light green,51.1,22.55,21.59,16.091,4,1,4,7/7/2024,
173,light green,41.93,19.93,18.09,9.7178,4,1,5,7/7/2024,
174,light green,45.92,21.25,21.23,14.5408,4,1,6,7/7/2024,
175,light green,44.71,20.83,19.53,11.4879,4,2,1,7/7/2024,
176,light green,57.48,25.52,25.39,23.259,4,2,2,7/7/2024,
177,light green,45.09,23.34,20.32,13.6546,4,2,3,7/7/2024,
178,light green,42.96,21.41,19.33,12.4767,4,2,4,7/7/2024,
179,light green,45.88,22.24,22.24,13.632,4,2,5,7/7/2024,
180,light green,37.68,19.18,17.45,7.3641,4,2,6,7/7/2024,
181,light green,53.27,24.58,23.09,20.0007,4,3,1,7/7/2024,
182,light green,46.74,20.68,22.28,15.3216,4,3,2,7/7/2024,
183,light green,45.01,21.42,22.35,15.2975,4,3,3,7/7/2024,
184,light green,37.6,21.57,17.47,8.1489,4,3,4,7/7/2024,
185,light green,42.8,19.74,18.2,9.8392,4,3,5,7/7/2024,
186,light green,49.36,23.41,19.94,15.704,4,3,6,7/7/2024,
187,light green,42.56,19.26,18.32,8.5853,4,4,1,7/7/2024,
188,light green,46.98,22.37,21.84,11.9742,4,4,2,7/7/2024,
189,light green,54.08,26.48,19.53,14.3354,4,4,3,7/7/2024,
190,light green,39.53,20.03,15,7.2782,4,4,4,7/7/2024,
191,light green,41.76,19.25,20.69,12.8649,4,4,5,7/7/2024,
192,light green,54.09,22.74,22.99,20.1809,4,4,6,7/7/2024,
193,light green,47.62,22.35,20.86,14.025,4,5,1,7/7/2024,
194,light green,44.11,21.18,18.65,12.3778,4,5,2,7/7/2024,
195,light green,43.06,21.18,16.61,8.8718,4,5,3,7/7/2024,
196,light green,51.49,22.9,21.73,14.2391,4,5,4,7/7/2024,
197,light green,38.64,18.73,19.58,9.7331,4,5,5,7/7/2024,
198,light green,50.19,25.44,23.19,19.9057,4,5,6,7/7/2024,
199,dark green,42.42,19.64,19.36,11.7694,19,1,1,7/7/2024,
200,dark green,49.6,24.38,20.3,13.927,19,1,2,7/7/2024,
201,dark green,48.38,20.37,24.13,15.9538,19,1,3,7/7/2024,
202,dark green,39.94,16.71,17.98,8.8291,19,1,4,7/7/2024,
203,dark green,52.51,26.2,25.06,22.1551,19,1,5,7/7/2024,
204,dark green,43.43,21.14,20.16,13.1208,19,1,6,7/7/2024,
205,dark green,44.08,21.7,20.86,14.1591,19,2,1,7/7/2024,
206,dark green,39.75,19.47,19.74,8.5014,19,2,2,7/7/2024,
207,dark green,45.7,19.54,20.88,11.2905,19,2,3,7/7/2024,
208,dark green,47.57,22.14,20.73,16.4078,19,2,4,7/7/2024,
209,dark green,41.22,18.38,16.45,8.4677,19,2,5,7/7/2024,
210,dark green,51.22,25.17,24.33,19.0553,19,2,6,7/7/2024,
211,dark green,47.12,22.68,18.41,11.9725,19,3,1,7/7/2024,
212,dark green,51.03,26.77,23.56,16.5234,19,3,2,7/7/2024,
213,dark green,42.72,20.06,18.46,10.2682,19,3,3,7/7/2024,
214,dark green,43.5,21.25,20.21,12.8778,19,3,4,7/7/2024,
215,dark green,40.53,21.24,19.08,10.0209,19,3,5,7/7/2024,
216,dark green,53.17,23.25,20.8,15.8857,19,3,6,7/7/2024,
217,dark green,49.91,25.99,22.89,18.6148,19,4,1,7/7/2024,
218,dark green,39.37,18.34,19.42,9.7354,19,4,2,7/7/2024,
219,dark green,52.41,26.14,21.34,18.131,19,4,3,7/7/2024,
220,dark green,40.81,19.39,16.28,7.6181,19,4,4,7/7/2024,
221,dark green,50.34,24.26,24.08,20.5023,19,4,5,7/7/2024,
222,dark green,36.29,17.68,16.42,6.5969,19,4,6,7/7/2024,
223,dark green,54.92,25.98,20.61,16.5954,19,5,1,7/7/2024,
224,dark green,54.75,23.77,22.3,18.6942,19,5,2,7/7/2024,
225,dark green,49.56,23.71,21.98,16.4524,19,5,3,7/7/2024,
226,dark green,47.8,22.21,23.39,16.6596,19,5,4,7/7/2024,
227,dark green,42.37,20.02,16.25,7.874,19,5,5,7/7/2024,
228,dark green,53.03,24.95,23.54,18.7302,19,5,6,7/7/2024,
229,red-pink,51.38,24.69,24.54,19.2273,14,1,1,7/7/2024,
230,red-pink,42.23,21.37,19.21,10.9011,14,1,2,7/7/2024,
231,red-pink,46.39,22.31,22.61,15.6881,14,1,3,7/7/2024,
232,red-pink,44.75,20.54,20.34,10.7126,14,1,4,7/7/2024,
233,red-pink,47.98,25.01,21.34,18.0819,14,1,5,7/7/2024,
234,red-pink,46.84,21.24,20.12,12.5884,14,1,6,7/7/2024,
235,red-pink,48.97,23.32,22.6,19.5949,14,2,1,7/7/2024,
236,red-pink,49.2,23.71,22.51,19.5511,14,2,2,7/7/2024,
237,red-pink,46.73,23.05,20.4,14.6394,14,2,3,7/7/2024,
238,red-pink,46.04,21.23,19.79,14.2823,14,2,4,7/7/2024,
239,red-pink,44.24,21.76,16.67,8.6621,14,2,5,7/7/2024,
240,red-pink,49.75,24.19,25.29,19.1861,14,2,6,7/7/2024,
241,red-pink,43.88,19.57,20.3,12.7074,14,3,1,7/7/2024,
242,red-pink,59.64,29.27,24.92,27.484,14,3,2,7/7/2024,
243,red-pink,48.08,21.58,21.72,13.2569,14,3,3,7/7/2024,
244,red-pink,48.11,24.49,21.24,14.8432,14,3,4,7/7/2024,
245,red-pink,43.65,21.52,18.59,11.4384,14,3,5,7/7/2024,
246,red-pink,51.01,23.95,20.49,17.0576,14,3,6,7/7/2024,
247,red-pink,44,22.15,22.35,15.7356,14,4,1,7/7/2024,
248,red-pink,57,22.01,25.3,22.481,14,4,2,7/7/2024,
249,red-pink,44.3,21.36,21.03,12.2441,14,4,3,7/7/2024,
250,red-pink,48.38,23.35,22.27,16.2794,14,4,4,7/7/2024,
251,red-pink,44.93,23.06,20.89,14.4514,14,4,5,7/7/2024,
252,red-pink,49.09,21.1,21.37,15.915,14,4,6,7/7/2024,
253,red-pink,43.59,20.8,20.66,12.9089,14,5,1,7/7/2024,
254,red-pink,47.93,21.92,21.11,14.5183,14,5,2,7/7/2024,
255,red-pink,47.85,21.94,21.1,14.4825,14,5,3,7/7/2024,
256,red-pink,44.11,21,18.72,12.3367,14,5,4,7/7/2024,
257,red-pink,51.09,25.45,21.98,18.0957,14,5,5,7/7/2024,
258,red-pink,52.02,24.46,21.25,16.5623,14,5,6,7/7/2024,
259,red-pink,45.15,22.73,21.15,15.9601,14,1,1,7/7/2024,
260,red-pink,51.31,21.82,22.56,15.2787,14,1,2,7/7/2024,
261,red-light green,52.96,24.6,23.05,17.9199,15,1,3,7/7/2024,
262,red-light green,46.33,22.59,21.91,15.041,15,1,4,7/7/2024,
263,red-light green,59.18,26.58,24.49,21.5057,15,1,5,7/7/2024,
264,red-light green,51.33,25.22,20.86,18.0204,15,1,6,7/7/2024,
265,red-light green,50.81,24.44,24.69,21.3349,15,2,1,7/7/2024,
266,red-light green,46.78,21.17,19.77,16.9513,15,2,2,7/7/2024,
267,red-light green,47.92,23.41,21.18,15.6194,15,2,3,7/7/2024,
268,red-light green,54.27,24.04,23.86,21.9185,15,2,4,7/7/2024,
269,red-light green,42.92,18.83,18.54,9.5551,15,2,5,7/7/2024,
270,red-light green,62.42,28.92,23.72,24.4028,15,2,6,7/7/2024,
271,red-light green,42.35,21.8,18.14,9.6271,15,3,1,7/7/2024,
272,red-light green,47.52,24.07,23.64,18.8326,15,3,2,7/7/2024,
273,red-light green,41.9,19.16,18.34,10.5667,15,3,3,7/7/2024,
274,red-light green,52.32,25.27,22.93,20.8494,15,3,4,7/7/2024,
275,red-light green,44.28,21.7,18.03,11.3231,15,3,5,7/7/2024,
276,red-light green,45.94,21.96,19.56,10.6411,15,3,6,7/7/2024,
277,red-light green,49.91,25.73,25.06,20.9805,15,4,1,7/7/2024,
278,red-light green,50.19,26.15,22.65,15.5956,15,4,2,7/7/2024,
279,red-light green,53.58,25.27,23.41,20.6265,15,4,3,7/7/2024,
280,red-light green,46.98,20.51,20.87,12.6201,15,4,4,7/7/2024,
281,red-light green,48.85,25.46,21.27,15.1573,15,4,5,7/7/2024,
282,red-light green,55.47,26.54,22.91,21.0151,15,4,6,7/7/2024,
283,red-light green,47.81,23.35,21.04,13.5812,15,5,1,7/7/2024,
284,red-light green,41.73,23.67,19.18,11.6874,15,5,2,7/7/2024,
285,red-light green,45.13,21.72,19.24,10.9633,15,5,3,7/7/2024,
286,red-light green,46.87,22.08,23.86,16.8445,15,5,4,7/7/2024,
287,red-light green,51.11,26.81,24.74,20.3362,15,5,5,7/7/2024,
288,red-light green,46.1,20.26,19.35,11.6186,15,5,6,7/7/2024,
289,red-dark green,54.22,28.86,22.64,20.7176,8,1,1,7/7/2024,
290,red-dark green,43.78,20.42,19.45,12.7956,8,1,2,7/7/2024,
291,red-dark green,42.41,19.62,19.29,12.4121,8,1,3,7/7/2024,
292,red-dark green,54.5,26.98,24.36,20.7736,8,1,4,7/7/2024,
293,red-dark green,47.5,23.5,23.55,17.2808,8,1,5,7/7/2024,
294,red-dark green,51.52,25.04,24.9,15.056,8,1,6,7/7/2024,
295,red-dark green,42.94,19.68,18.93,9.9206,8,2,1,7/7/2024,
296,red-dark green,51.22,24.54,22.07,22.7128,8,2,2,7/7/2024,
297,red-dark green,62.42,26.97,25.59,28.5813,8,2,3,7/7/2024,
298,red-dark green,51.08,23.94,23.28,17.3006,8,2,4,7/7/2024,
299,red-dark green,43.08,19.59,17.5,8.4967,8,2,5,7/7/2024,
300,red-dark green,46.49,24.43,23.17,16.5531,8,2,6,7/7/2024,
301,red-dark green,44.57,21.45,19.17,10.7882,8,3,1,7/7/2024,
302,red-dark green,52.41,25.99,21.12,20.0222,8,3,2,7/7/2024,
303,red-dark green,50.51,23.56,21.79,16.4186,8,3,3,7/7/2024,
304,red-dark green,40.84,22.5,17.34,9.2733,8,3,4,7/7/2024,
305,red-dark green,52.05,26.45,21.69,20.7353,8,3,5,7/7/2024,
306,red-dark green,39.68,18.85,16.61,8.0456,8,3,6,7/7/2024,
307,red-dark green,46.7,21.33,22.56,14.6605,8,4,1,7/7/2024,
308,red-dark green,61.78,29.95,27.94,28.5331,8,4,2,7/7/2024,
309,red-dark green,48.84,23.52,19.84,13.5502,8,4,3,7/7/2024,
310,red-dark green,55.37,26.14,27.71,25.1398,8,4,4,7/7/2024,
311,red-dark green,51.3,23.03,20.21,13.7282,8,4,5,7/7/2024,
312,red-dark green,49.5,22.47,20.28,11.3272,8,4,6,7/7/2024,
313,red-dark green,56.11,27.24,24.04,19.4445,8,5,1,7/7/2024,
314,red-dark green,42.41,21.44,17.59,8.478,8,5,2,7/7/2024,
315,red-dark green,47.89,21.23,19.31,10.3532,8,5,3,7/7/2024,
316,red-dark green,52.18,24.45,22.32,19.0803,8,5,4,7/7/2024,
317,red-dark green,43.1,22.05,18.61,9.8267,8,5,5,7/7/2024,
318,red-dark green,53.11,26.89,27.23,22.6297,8,5,6,7/7/2024,
319,dark green-pink,49.21,24.35,21.66,16.2468,13,,1,7/7/2024,
320,dark green-pink,46.59,23.18,22.08,16.5503,13,,2,7/7/2024,
321,dark green-pink,48.06,23.06,21.82,14.6983,13,,3,7/7/2024,
322,dark green-pink,44.11,21.13,20.46,12.2808,13,,4,7/7/2024,
323,dark green-pink,48.6,23.64,20.52,13.2786,13,,5,7/7/2024,
324,dark green-pink,43.83,20.53,21.26,14.1279,13,,6,7/7/2024,
325,dark green-pink,51.79,23.99,21.4,17.3042,13,,1,7/7/2024,
326,dark green-pink,47.11,23.02,23.84,16.6923,13,,2,7/7/2024,
327,dark green-pink,46.2,21.48,20.82,11.7806,13,,3,7/7/2024,
328,dark green-pink,46.47,23.39,21.84,16.4544,13,,4,7/7/2024,
329,dark green-pink,47.97,24.3,20.41,10.5371,13,,5,7/7/2024,
330,dark green-pink,40.04,21.16,18.48,10.9147,13,,6,7/7/2024,
331,dark green-pink,52.44,22.8,22.71,16.3959,13,,1,7/7/2024,
332,dark green-pink,43.62,20.67,19.96,11.3671,13,,2,7/7/2024,
333,dark green-pink,53.87,26.03,28.03,27.3479,13,,3,7/7/2024,
334,dark green-pink,46.55,20.42,22.12,14.9834,13,,4,7/7/2024,
335,dark green-pink,49.22,25.18,22.78,19.0325,13,,5,7/7/2024,
336,dark green-pink,41.08,18.82,17.13,9.7857,13,,6,7/7/2024,
337,dark green-pink,43.97,22.66,20.03,13.6309,13,,1,7/7/2024,
338,dark green-pink,41.97,21.8,19.6,12.0001,13,,2,7/7/2024,
339,dark green-pink,48.22,22.15,20.45,12.618,13,,3,7/7/2024,
340,dark green-pink,44.07,21.26,19.57,13.7601,13,,4,7/7/2024,
341,dark green-pink,53.98,27.31,27,20.6413,13,,5,7/7/2024,
342,dark green-pink,49.75,22.86,22.78,15.2461,13,,6,7/7/2024,
343,dark green-pink,57.01,23.25,23.77,23.384,13,,1,7/7/2024,
344,dark green-pink,39.19,18.72,17.13,8.1659,13,,2,7/7/2024,
345,dark green-pink,41.39,19.56,19.45,10.8984,13,,3,7/7/2024,
346,dark green-pink,50.04,24.05,22.91,15.3907,13,,4,7/7/2024,
347,dark green-pink,49.05,23.69,18.98,11.3431,13,,5,7/7/2024,
348,dark green-pink,44.4,20.19,19.11,11.2759,13,,6,7/7/2024,
349,dark green-pink,42.14,20.37,18.14,10.9269,13,,1,7/7/2024,
350,dark green-pink,47.52,21.66,18.68,11.5887,13,,2,7/7/2024,
351,dark green-light green,49.3,23.19,21.37,15.6754,10,,3,7/7/2024,
352,dark green-light green,38.97,18.79,17.93,7.5958,10,,4,7/7/2024,
353,dark green-light green,39.44,20.33,17.84,8.6502,10,,5,7/7/2024,
354,dark green-light green,48.67,22.94,23.14,17.1165,10,,6,7/7/2024,
355,dark green-light green,45.86,22.33,20.17,11.8653,10,,1,7/7/2024,
356,dark green-light green,43.41,20.44,19.64,11.0583,10,,2,7/7/2024,
357,dark green-light green,40.42,19.68,40.29,8.8856,10,,3,7/7/2024,
358,dark green-light green,55.37,24.21,24.77,18.3791,10,,4,7/7/2024,
359,dark green-light green,51.05,22.26,24.57,19.3153,10,,5,7/7/2024,
360,dark green-light green,46.59,22.75,21.33,14.5374,10,,6,7/7/2024,
361,dark green-light green,48.65,23.19,21.68,16.2638,10,,1,7/7/2024,
362,dark green-light green,41.01,20.87,19.29,9.9062,10,,2,7/7/2024,
363,dark green-light green,51.54,25.77,22.78,19.2804,10,,3,7/7/2024,
364,dark green-light green,43.01,20.62,19.07,10.7513,10,,4,7/7/2024,
365,dark green-light green,45.23,21.64,20.54,12.8991,10,,5,7/7/2024,
366,dark green-light green,40.84,19.3,17.55,10.357,10,,6,7/7/2024,
367,dark green-light green,45.11,22.3,22.89,17.0295,10,,1,7/7/2024,
368,dark green-light green,40.76,20,19.08,9.1194,10,,2,7/7/2024,
